Country code,year,reporting_level,welfare_type,"Population, millions","Prosperity Gap, z=25/day","Inequality, z=ybar","Mean, $/day",Mean income of the bottom 40 percent
AGO,1990,national,consumption,11.82863800000019,7.558928966522217,2.751614332199097,9.100543022155762,2.495024442672729
AGO,1991,national,consumption,12.22869100000013,7.714598655700684,2.74353289604187,8.890718460083008,2.437849283218384
AGO,1992,national,consumption,12.63250699999982,8.361226081848145,2.710759162902832,8.105148315429688,2.224558591842651
AGO,1993,national,consumption,13.03826999999967,10.8466854095459,2.590953350067139,5.971762657165527,1.647936224937439
AGO,1994,national,consumption,13.46203099999994,11.01694202423096,2.582355499267578,5.859964370727539,1.618216276168823
AGO,1995,national,consumption,13.91225300000036,10.07484722137451,2.629051685333252,6.523800373077393,1.795894503593445
AGO,1996,national,consumption,14.38334999999971,9.301571846008301,2.66348671913147,7.158700942993164,1.968751907348633
AGO,1997,national,consumption,14.87114600000036,9.011686325073242,2.678310394287109,7.430102825164795,2.041501045227051
AGO,1998,national,consumption,15.36686400000027,8.910093307495117,2.68207573890686,7.525386810302734,2.067939281463623
AGO,1999,national,consumption,15.87075299999982,8.993142127990723,2.679026365280151,7.447414398193359,2.046334743499756
AGO,2000,national,consumption,16.39406199999985,9.011467933654785,2.678303003311157,7.430262565612793,2.041544437408447
AGO,2001,national,consumption,16.94158699999994,9.159954071044922,2.602103233337402,7.101845741271973,1.971065044403076
AGO,2002,national,consumption,17.51613899999985,8.671284675598145,2.553884744644165,7.363051891326904,2.056502103805542
AGO,2003,national,consumption,18.12434200000011,8.945996284484863,2.46424674987793,6.886451244354248,1.954211831092834
AGO,2004,national,consumption,18.77112500000036,8.61707592010498,2.382132053375244,6.911079883575439,2.008824586868286
AGO,2005,national,consumption,19.4509590000002,7.998039245605469,2.254324913024902,7.046492576599121,2.151699304580688
AGO,2006,national,consumption,20.16233999999996,7.619026660919189,2.144460916519165,7.036531448364258,2.244665145874023
AGO,2007,national,consumption,20.90968399999965,7.094339847564697,2.023673057556152,7.131294250488281,2.402242422103882
AGO,2008,national,consumption,21.69152200000008,6.753662586212158,1.886424779891968,6.982969284057617,2.514597177505493
AGO,2009,national,consumption,22.50767399999988,7.163975238800049,1.824662327766418,6.36749267578125,2.374845027923584
AGO,2010,national,consumption,23.36418499999957,7.338963031768799,1.893609881401062,6.450536251068115,2.328412532806396
AGO,2011,national,consumption,24.25911099999951,7.600227355957031,1.950584173202515,6.416203498840332,2.254587650299072
AGO,2012,national,consumption,25.18829199999955,7.609696865081787,2.005131959915161,6.587424278259277,2.262148857116699
AGO,2013,national,consumption,26.14700199999939,7.786264419555664,2.053137063980103,6.592175960540771,2.212976217269897
AGO,2014,national,consumption,27.1283370000004,7.967255592346191,2.11371898651123,6.632518768310547,2.162594318389893
AGO,2015,national,consumption,28.1277210000004,8.436320304870605,2.157703161239624,6.394088745117188,2.037066459655762
AGO,2016,national,consumption,29.15474599999973,9.00724983215332,2.193916797637939,6.08930778503418,1.897581338882446
AGO,2017,national,consumption,30.20862800000028,9.688847541809082,2.23343563079834,5.762903213500977,1.754528880119324
AGO,2018,national,consumption,31.2735330000002,10.55743217468262,2.266498804092407,5.367069244384766,1.597565770149231
AGO,2019,national,consumption,32.35358799999961,11.03160858154297,2.562005519866943,5.806056022644043,1.523107409477234
ALB,1990,national,consumption,3.286542000000013,4.057797908782959,1.26712441444397,7.806724548339844,4.460973262786865
ALB,1991,national,consumption,3.266790000000047,5.602173805236816,1.267114639282227,5.654566764831543,3.231170177459717
ALB,1992,national,consumption,3.247039000000016,5.99943733215332,1.26710832118988,5.280113220214844,3.017254590988159
ALB,1993,national,consumption,3.227287000000051,5.442639827728271,1.26710307598114,5.820259571075439,3.325906038284302
ALB,1994,national,consumption,3.207536000000017,4.994653224945068,1.26711106300354,6.342337608337402,3.624229907989502
ALB,1995,national,consumption,3.187784000000054,4.380342483520508,1.267150521278381,7.232028961181641,4.132491588592529
ALB,1996,national,consumption,3.168033000000019,3.990103244781494,1.267091274261475,7.938962936401367,4.536667346954346
ALB,1997,national,consumption,3.148281000000053,4.858391761779785,1.281721353530884,6.595399379730225,3.714660167694092
ALB,1998,national,consumption,3.128530000000021,5.128448486328125,1.30029034614563,6.338614463806152,3.508548974990845
ALB,1999,national,consumption,3.108778000000056,4.976365089416504,1.31481397151947,6.605292797088623,3.605478763580322
ALB,2000,national,consumption,3.089027000000023,4.680427074432373,1.329317092895508,7.100404739379883,3.823479413986206
ALB,2001,national,consumption,3.060173000000048,4.482107639312744,1.346822023391724,7.512213706970215,3.982630014419556
ALB,2002,national,consumption,3.051010000000047,4.190146446228027,1.361573576927185,8.123662948608398,4.24860954284668
ALB,2003,national,consumption,3.039616000000022,3.93704080581665,1.35424542427063,8.599386215209961,4.529492378234863
ALB,2004,national,consumption,3.026939000000035,3.828233242034912,1.348274111747742,8.804806709289551,4.665427684783936
ALB,2005,national,consumption,3.011487000000056,3.662142515182495,1.341415643692017,9.157314300537109,4.886253833770752
ALB,2006,national,consumption,2.992546999999965,3.563991546630859,1.341206669807434,9.408038139343262,5.03503942489624
ALB,2007,national,consumption,2.970016999999992,3.408342361450195,1.333480477333069,9.781004905700684,5.279545307159424
ALB,2008,national,consumption,2.947314000000027,3.274441480636597,1.321520328521729,10.08966255187988,5.511258125305176
ALB,2009,national,consumption,2.92751899999999,3.320010423660278,1.325685024261475,9.982536315917969,5.432513236999512
ALB,2010,national,consumption,2.913020999999941,3.340606927871704,1.328322649002075,9.940728187561035,5.399621963500977
ALB,2011,national,consumption,2.905194999999982,3.361663103103638,1.32599401473999,9.861145973205566,5.366686820983887
ALB,2012,national,consumption,2.900401000000066,3.444061756134033,1.312886238098145,9.530072212219238,5.246499061584473
ALB,2013,national,consumption,2.895092000000031,3.568102359771729,1.396125316619873,9.781987190246582,4.948855876922607
ALB,2014,national,consumption,2.889103999999982,3.642303705215454,1.480639457702637,10.1627950668335,4.710571765899658
ALB,2015,national,consumption,2.880703000000054,2.920602321624756,1.407040119171143,12.04409217834473,5.986893177032471
ALB,2016,national,consumption,2.876101000000018,2.880586624145508,1.444401502609253,12.53565502166748,6.014966011047363
ALB,2017,national,consumption,2.873457000000043,2.873594045639038,1.425110816955566,12.39833164215088,6.067558765411377
ALB,2018,national,consumption,2.86637600000003,2.562963724136353,1.364512920379639,13.30991268157959,6.992587089538574
ALB,2019,national,consumption,2.85419099999996,2.42142653465271,1.331092357635498,13.74285221099854,7.386106491088867
ARE,1990,national,income,1.900151000000025,.3156436681747437,1.531229615211487,121.2783432006836,55.41663360595703
ARE,1991,national,income,2.008382999999962,.3307054936885834,1.531085729598999,115.743896484375,52.89269638061523
ARE,1992,national,income,2.116231000000021,.3376744985580444,1.531987190246582,113.4218902587891,51.81298446655273
ARE,1993,national,income,2.223284000000013,.3501221537590027,1.531639218330383,109.364631652832,49.96586990356445
ARE,1994,national,income,2.32902399999998,.3429325520992279,1.531264185905457,111.6301345825195,51.0064811706543
ARE,1995,national,income,2.433987999999977,.3358948826789856,1.531262278556824,113.9688568115234,52.07598876953125
ARE,1996,national,income,2.572735000000043,.3359196782112122,1.531843304634094,114.0036926269531,52.08131408691406
ARE,1997,national,income,2.746119000000052,.3306818306446075,1.530500411987305,115.7079238891602,52.88661956787109
ARE,1998,national,income,2.92112999999997,.3510083854198456,1.530956745147705,109.0399017333984,49.83073043823242
ARE,1999,national,income,3.097562999999973,.3621183633804321,1.531677484512329,105.7442626953125,48.31137847900391
ARE,2000,national,income,3.275332999999962,.3456359207630157,1.532097816467285,110.8173141479492,50.61978149414063
ARE,2001,national,income,3.454198000000018,.2140555381774902,1.531737089157104,178.8948211669922,81.72690582275391
ARE,2002,national,income,3.633654999999913,.2118377685546875,1.531180262565613,180.7019958496094,82.56679534912109
ARE,2003,national,income,3.813442999999954,.2179546505212784,1.531155705451965,175.6277923583984,80.24872589111328
ARE,2004,national,income,3.993338999999986,.2048233598470688,1.531101822853088,186.8807678222656,85.39189910888672
ARE,2005,national,income,4.280993000000046,.2140537798404694,1.531634569168091,178.8843078613281,81.72517395019531
ARE,2006,national,income,4.89895400000001,.2123863399028778,1.531166195869446,180.2335968017578,82.35133361816406
ARE,2007,national,income,5.87262400000014,.2265843600034714,1.530857801437378,168.9059448242188,77.18310546875
ARE,2008,national,income,6.988684999999856,.2411154210567474,1.531270623207092,158.7694549560547,72.54665374755859
ARE,2009,national,income,7.992643999999938,.383369505405426,1.531777262687683,99.88909149169922,45.6334342956543
ARE,2010,national,income,8.481770999999792,.5596883893013,1.531765580177307,68.42046356201172,31.25726890563965
ARE,2011,national,income,8.575204999999837,.5098347663879395,1.531851172447205,75.11508178710938,34.31481552124023
ARE,2012,national,income,8.664968999999852,.5773667097091675,1.531572222709656,66.31713104248047,30.29834747314453
ARE,2013,national,income,8.751847000000001,.553880512714386,1.531134963035583,69.10944366455078,31.57839393615723
ARE,2014,national,income,8.835951000000007,.4869061410427094,1.514695763587952,77.77144622802734,36.42011642456055
ARE,2015,national,income,8.916899000000024,.5841202735900879,1.484169840812683,63.52158355712891,31.05881309509277
ARE,2016,national,income,8.99426299999995,.5571665167808533,1.45213770866394,65.15725708007813,33.22261047363281
ARE,2017,national,income,9.068295999999959,.493636280298233,1.41945743560791,71.8878173828125,38.17503356933594
ARE,2018,national,income,9.140169000000103,.4484349489212036,1.381800174713135,77.03459167480469,42.5290641784668
ARE,2019,national,income,9.211656999999864,.4110212326049805,1.381825566291809,84.04830169677734,46.40052032470703
ARG,1990,urban,income,32.63765699999972,3.101134538650513,2.600209712982178,20.96176147460938,6.595556259155273
ARG,1991,urban,income,33.10576299999985,3.004927635192871,2.503766059875488,20.83050346374512,6.752927303314209
ARG,1992,urban,income,33.56828500000004,3.172451257705688,2.740303516387939,21.59452819824219,6.75911283493042
ARG,1993,urban,income,34.02724000000016,3.172281265258789,2.767494440078735,21.80997085571289,6.753935813903809
ARG,1994,urban,income,34.488696,3.242439031600952,2.788044929504395,21.49650955200195,6.6172776222229
ARG,1995,urban,income,34.94611000000009,3.751869440078735,3.070840835571289,20.46207237243652,5.842586040496826
ARG,1996,urban,income,35.389362,4.117279529571533,3.312605142593384,20.11404037475586,5.514178276062012
ARG,1997,urban,income,35.81597100000035,3.782636404037476,3.180574178695679,21.02088165283203,5.785374641418457
ARG,1998,urban,income,36.23319500000039,3.813075542449951,3.133317708969116,20.54324340820313,5.465329647064209
ARG,1999,urban,income,36.65303100000003,3.979031562805176,3.135359287261963,19.69926071166992,5.354974746704102
ARG,2000,urban,income,37.07077400000018,4.20412015914917,3.249438762664795,19.32294082641602,5.006808757781982
ARG,2001,urban,income,37.48049299999979,5.144423007965088,3.670508861541748,17.83732032775879,4.263772010803223
ARG,2002,urban,income,37.88502799999993,5.925802230834961,3.057735204696655,12.90009021759033,3.153245210647583
ARG,2003,urban,income,38.27816400000006,4.014070987701416,2.81737232208252,17.54685211181641,4.726643562316895
ARG,2004,urban,income,38.66879599999976,3.463978290557861,2.637777805328369,19.03719902038574,5.419686317443848
ARG,2005,urban,income,39.0705010000001,3.085062503814697,2.57140064239502,20.83750915527344,6.112801074981689
ARG,2006,urban,income,39.47685099999997,2.742450475692749,2.520821094512939,22.97964096069336,7.021066188812256
ARG,2007,urban,income,39.87611100000024,2.589035511016846,2.470593214035034,23.85630798339844,7.326948165893555
ARG,2008,urban,income,40.27376900000019,2.467465877532959,2.419605255126953,24.51508331298828,7.824336051940918
ARG,2009,urban,income,40.68433799999966,2.324157953262329,2.366368532180786,25.45404243469238,8.300826072692871
ARG,2010,urban,income,40.7884529999996,2.145205974578857,2.246838808059692,26.18441772460938,8.735055923461914
ARG,2011,urban,income,41.26148999999951,1.979820728302002,2.203417778015137,27.82345199584961,9.558073997497559
ARG,2012,urban,income,41.7332709999994,1.927165865898132,2.128859519958496,27.61645317077637,9.842388153076172
ARG,2013,urban,income,42.20293500000012,1.871504664421082,2.086264848709106,27.86881828308105,9.989007949829102
ARG,2014,urban,income,42.66949999999966,1.955497980117798,2.051756858825684,26.23061752319336,9.332425117492676
ARG,2015,urban,income,43.13196599999993,1.893711447715759,2.071308374404907,27.34456253051758,9.676934242248535
ARG,2016,urban,income,43.59036799999938,1.913043141365051,2.093209028244019,27.35444259643555,9.660434722900391
ARG,2017,urban,income,44.04481099999974,1.793814420700073,2.050648212432861,28.57943725585938,10.36058044433594
ARG,2018,urban,income,44.49450199999941,1.968489170074463,2.054632186889648,26.09402656555176,9.45305061340332
ARG,2019,urban,income,44.93871200000008,2.080273151397705,2.132786989212036,25.63109397888184,8.825185775756836
ARM,1990,national,income,3.556538999999958,4.05707311630249,1.828753709793091,11.26892280578613,4.191719532012939
ARM,1991,national,income,3.61763100000001,4.673635959625244,1.828304529190063,9.77988338470459,3.638868093490601
ARM,1992,national,income,3.574555000000047,7.921067714691162,1.82595956325531,5.762984275817871,2.143248081207275
ARM,1993,national,income,3.457349000000046,8.398200035095215,1.825404763221741,5.433917045593262,2.020955085754395
ARM,1994,national,income,3.37371299999991,7.844112873077393,1.825851082801819,5.819176197052002,2.164440393447876
ARM,1995,national,income,3.322782000000033,7.050780773162842,1.826794266700745,6.47727632522583,2.409618139266968
ARM,1996,national,income,3.298898000000052,6.727088451385498,1.827633380889893,6.79206657409668,2.526285171508789
ARM,1997,national,income,3.271418000000063,6.180370330810547,1.829087972640991,7.398779392242432,2.751654863357544
ARM,1998,national,consumption,3.240550000000016,7.364217281341553,1.479698419570923,5.023271083831787,2.400973081588745
ARM,1999,national,consumption,3.20602999999997,7.231700420379639,1.479659557342529,5.115185737609863,2.444935321807861
ARM,2000,national,consumption,3.168522999999946,7.355950355529785,1.492222428321838,5.071480751037598,2.408417940139771
ARM,2001,national,consumption,3.133132999999963,7.486464500427246,1.447963714599609,4.835272312164307,2.379015922546387
ARM,2002,national,consumption,3.105037000000054,7.005757331848145,1.424562454223633,5.083541870117188,2.554969787597656
ARM,2003,national,consumption,3.084101999999977,6.530765533447266,1.377999544143677,5.275030612945557,2.761034965515137
ARM,2004,national,consumption,3.065744999999931,5.795984268188477,1.525287628173828,6.579070568084717,3.090144872665405
ARM,2005,national,consumption,3.047245999999957,5.075128555297852,1.450313210487366,7.144219398498535,3.549139976501465
ARM,2006,national,consumption,3.026485999999995,4.760398864746094,1.310475707054138,6.882174015045166,3.807162046432495
ARM,2007,national,consumption,3.004392999999994,4.405395030975342,1.353667378425598,7.681873321533203,4.073549747467041
ARM,2008,national,consumption,2.983421000000032,4.14321231842041,1.302314281463623,7.858119010925293,4.356662273406982
ARM,2009,national,consumption,2.964296000000026,4.563925743103027,1.274883985519409,6.98348331451416,3.99094557762146
ARM,2010,national,consumption,2.946292999999962,4.585205078125,1.309783458709717,7.141356468200684,3.946707010269165
ARM,2011,national,consumption,2.92897600000005,4.474352359771729,1.306704998016357,7.301084518432617,4.044734001159668
ARM,2012,national,consumption,2.914420999999958,4.337544441223145,1.305138945579529,7.522337436676025,4.177374839782715
ARM,2013,national,consumption,2.901384999999954,4.295389175415039,1.347211837768555,7.841034889221191,4.204484939575195
ARM,2014,national,consumption,2.889929999999965,4.231066226959229,1.35820209980011,8.025177001953125,4.232476711273193
ARM,2015,national,consumption,2.87859499999999,4.019115924835205,1.37940788269043,8.580294609069824,4.467915058135986
ARM,2016,national,consumption,2.865835000000026,3.864996671676636,1.397303342819214,9.038191795349121,4.518224239349365
ARM,2017,national,consumption,2.851923000000021,3.950218200683594,1.390457630157471,8.79987907409668,4.566297054290771
ARM,2018,national,consumption,2.836557000000035,4.033635139465332,1.425455212593079,8.834804534912109,4.478396415710449
ARM,2019,national,consumption,2.820601999999933,4.157177925109863,1.325122594833374,7.968883514404297,4.379308223724365
AUS,1990,national,income,17.06512800000006,1.115945816040039,1.788195371627808,40.06008529663086,19.71139335632324
AUS,1991,national,income,17.28403599999981,1.159083724021912,1.814741611480713,39.14173126220703,19.27749061584473
AUS,1992,national,income,17.47863499999982,1.182740807533264,1.821513891220093,38.50196838378906,18.99645805358887
AUS,1993,national,income,17.63480800000029,1.219444155693054,1.846014618873596,37.84541320800781,18.73958206176758
AUS,1994,national,income,17.8054680000001,1.229241967201233,1.848541498184204,37.59514999389648,18.72121047973633
AUS,1995,national,income,18.00488199999971,1.223719477653503,1.831472635269165,37.41610336303711,18.81709098815918
AUS,1996,national,income,18.22476699999983,1.214379668235779,1.846720218658447,38.01776885986328,19.0331859588623
AUS,1997,national,income,18.42303700000006,1.192649483680725,1.856158375740051,38.90829467773438,19.40126609802246
AUS,1998,national,income,18.60758400000006,1.165195941925049,1.876863837242126,40.26927185058594,19.98715782165527
AUS,1999,national,income,18.81226399999987,1.138326406478882,1.890274405479431,41.51433181762695,20.51645851135254
AUS,2000,national,income,19.02880199999993,1.123894691467285,1.906553626060486,42.40952682495117,20.8596363067627
